team,player,tier,injury,override_games,override_mpg
TOR,Jamal Shead,rotation,none,69.0,23.0
TOR,Jamison Battle,reserve,none,67.0,13.0
TOR,Kawhi Leonard,starter,none,63.0,32.0
TOR,Kyle Anderson,rotation,none,49.0,15.0
TOR,Nate Bittle,fringe,none,,0.0
TOR,Nimari Burnett,cut,none,,
TOR,RJ Barrett,starter,none,71.0,31.0
TOR,Scottie Barnes,starter,none,73.0,34.0
TOR,Trayce Jackson-Davis,reserve,none,46.0,10.0
UTA,Ace Bailey,rotation,none,66.0,29.0
UTA,Bez Mbeng,reserve,none,,7.0
UTA,Blake Hinson,fringe,none,,4.4
UTA,Brice Sensabaugh,rotation,none,60.0,21.0
UTA,Cody Williams,reserve,none,65.0,15.0
UTA,Darryn Peterson,starter,none,60.0,28.0
UTA,Harrison Ingram,fringe,none,,0.6
UTA,Hayden Gray,cut,none,,
UTA,Isaiah Collier,rotation,none,67.0,20.0
UTA,Jaren Jackson Jr.,starter,none,60.0,30.0
UTA,Jaxon Kohler,cut,none,,
UTA,Jaxson Hayes,rotation,none,48.0,15.0
UTA,John Konchar,reserve,none,51.0,12.0
UTA,Josh Okogie,reserve,none,56.0,15.0
UTA,Jusuf Nurkic,starter,none,56.0,28.0
UTA,Keyonte George,starter,none,70.0,33.0
UTA,Kyle Filipowski,rotation,none,68.0,20.0
UTA,Lauri Markkanen,starter,none,68.0,33.0
UTA,Micah Handlogten,cut,none,,
UTA,Mo Bamba,reserve,none,15.0,10.0
UTA,Svi Mykhailiuk,reserve,none,50.0,13.5
UTA,Tamar Bates,fringe,none,,3.7
UTA,Trey Alexander,fringe,none,,1.0
WAS,AJ Dybantsa,starter,none,68.0,30.0
WAS,Alex Sarr,starter,none,65.0,28.0
WAS,Anthony Davis,starter,none,50.0,31.0
WAS,Bilal Coulibaly,rotation,none,59.0,25.0
WAS,Bub Carrington,rotation,none,65.0,19.0
WAS,Cam Whitmore,reserve,none,18.0,9.0
WAS,Deandre Ayton,rotation,none,63.0,19.0
WAS,Felix Okpara,fringe,none,,6.0
WAS,Jamir Watkins,reserve,none,45.0,15.0
WAS,Julian Reese,fringe,none,,8.0
WAS,Justin Champagnie,rotation,none,,16.0
WAS,KeShawn Murphy,cut,none,,
WAS,Khris Middleton,rotation,none,50.0,20.0
WAS,Kyshawn George,starter,none,67.0,30.0
WAS,Seth Trimble,cut,none,,
WAS,Sharife Cooper,cut,none,,
WAS,Trae Young,starter,none,59.0,32.0
WAS,Tre Johnson,rotation,none,65.0,26.0
WAS,Tristan Vukcevic,reserve,none,35.0,14.0
WAS,Will Riley,rotation,none,66.0,23.0
