team,player,tier,injury,override_games,override_mpg
DAL,Klay Thompson,rotation,none,44.0,20.0
DAL,Kyrie Irving,starter,none,58.0,33.0
DAL,Marcus Sasser,reserve,none,,14.0
DAL,Max Christie,starter,none,75.0,29.5
DAL,Morez Johnson Jr.,rotation,none,58.0,21.0
DAL,Moussa Cisse,reserve,none,28.0,11.0
DAL,Naji Marshall,rotation,none,73.0,27.0
DAL,PJ Washington,starter,none,72.0,30.0
DAL,Santi Aldama,rotation,none,61.0,27.0
DAL,Sergio de Larrea,reserve,none,,17.0
DAL,Tarik Biberovic,reserve,none,30.0,10.0
DAL,Tobi Lawal,fringe,none,8.0,5.0
DAL,Vsevolod Ishchenko,fringe,none,15.0,0.0
DAL,Zaccharie Risacher,rotation,none,,20.0
DEN,Aaron Gordon,starter,short_term,55.0,28.0
DEN,Aaron Nkrumah,fringe,none,,0.0
DEN,Alpha Diallo,reserve,none,29.0,14.0
DEN,Bryce Hopkins,reserve,none,48.0,12.0
DEN,Cam Johnson,starter,none,68.0,29.0
DEN,Christian Braun,starter,none,75.0,32.0
DEN,Curtis Jones,cut,none,,0.0
DEN,DaRon Holmes II,reserve,none,,8.0
DEN,David Roddy,fringe,none,,0.0
DEN,Giovanni Emejuru,cut,none,,
DEN,Jamal Murray,starter,none,75.0,35.0
DEN,Jonas Valanciunas,cut,none,0.0,
DEN,Julian Strawther,rotation,none,,16.0
DEN,KJ Simpson,fringe,none,24.0,12.0
DEN,Mark Mitchell Jr.,cut,none,,
DEN,Marvin Bagley III,rotation,none,68.0,22.0
DEN,Nikola Jokic,starter,none,75.0,35.0
DEN,Peyton Watson,rotation,none,65.0,30.0
DEN,Spencer Jones,rotation,none,,
DEN,Trevon Brazile,reserve,none,45.0,14.0
DEN,Tyus Jones,rotation,none,,18.0
DEN,Zeke Nnaji,reserve,none,,12.0
DET,Ausar Thompson,starter,none,73.0,29.0
DET,Cade Cunningham,starter,none,69.0,35.0
DET,Chaz Lanier,reserve,none,29.0,11.0
DET,Corey Stephenson,cut,none,,
DET,Daniss Jenkins,rotation,none,65.0,24.0
DET,Drake Allen,cut,none,,
DET,Duncan Robinson,starter,none,67.0,27.0
DET,Ebuka Okorie,reserve,none,52.0,15.0
DET,Elijah Harkless,fringe,none,,6.0
DET,Gary Harris,reserve,none,42.0,9.0
DET,Isaac Jones,fringe,none,,5.4
DET,Isaiah Joe,rotation,none,67.0,25.0
DET,Jaden Henley,cut,none,,
DET,Jalen Duren,starter,none,69.0,29.0
DET,Javonte Green,rotation,none,53.0,16.0
DET,John Collins,starter,none,62.0,30.0
DET,Kevin Huerter,reserve,none,52.0,17.0
DET,Paul Reed,rotation,none,56.0,18.0
DET,Ron Holland II,rotation,none,67.0,20.0
DET,Taurean Prince,reserve,none,45.0,12.0
DET,Tolu Smith III,cut,none,,0.0
DET,Ugonna Onyenso,fringe,none,,5.7
DET,Wendell Moore Jr.,cut,none,,
GSW,Al Horford,rotation,none,45.0,22.0
GSW,Brandin Podziemski,starter,none,78.0,31.0
GSW,Charles Bassey,reserve,none,45.0,15.0
GSW,De'Anthony Melton,rotation,none,60.0,27.0
GSW,Draymond Green,starter,none,75.0,28.0
GSW,Graham Ike,cut,none,,
GSW,Gui Santos,starter,none,,29.0
GSW,Jimmy Butler,rotation,long_term,15.0,28.0
GSW,Kristaps Porzingis,starter,none,62.0,29.0
GSW,LJ Cryer,fringe,none,30.0,14.0
GSW,Lajae Jones,cut,none,,
GSW,Malevy Leons,fringe,none,,5.0
GSW,Moses Moody,rotation,long_term,15.0,25.0
GSW,Nate Williams,reserve,none,40.0,12.5
GSW,Nick Boyd,cut,none,,
GSW,Stephen Curry,starter,none,68.0,32.0
GSW,Will Richard,rotation,none,,22.0
GSW,Yaxel Lendeborg,rotation,none,,28.0
HOU,Alperen Sengun,starter,none,,34.0
HOU,Amen Thompson,starter,none,,33.0
HOU,Bogdan Bogdanovic,reserve,none,,12.0
HOU,Bruce Thornton,reserve,none,,11.0
HOU,Clint Capela,reserve,none,,12.0
HOU,Fred VanVleet,starter,none,60.0,31.0
HOU,Isaiah Crawford,cut,none,,
HOU,JD Davison,reserve,none,26.0,8.0
HOU,Jabari Smith Jr.,starter,none,,32.0
HOU,Jae'Sean Tate,reserve,none,35.0,9.0
HOU,Julian Phillips,fringe,none,17.0,6.0
HOU,Kevin Durant,starter,none,,35.0
HOU,Marcus Smart,rotation,none,52.0,25.0
HOU,Oscar Tshiebwe,reserve,none,24.0,9.0
HOU,Quadir Copeland,fringe,none,,7.2
HOU,Reed Sheppard,rotation,none,,28.0
HOU,Steven Adams,rotation,short_term,41.0,18.0
HOU,Tari Eason,rotation,none,60.0,26.0
HOU,Tristen Newton,fringe,none,,5.5
HOU,Tyler Smith,cut,none,6.0,7.0
IND,Aaron Nesmith,starter,none,71.0,29.0
IND,Andrew Nembhard,starter,none,69.0,30.0
IND,Ben Sheppard,reserve,none,44.0,15.0
IND,Braden Smith,fringe,none,26.0,5.0
IND,Ethan Thompson,fringe,none,,5.0
IND,Ivica Zubac,starter,none,69.0,31.0
IND,Jalen Slawson,fringe,none,40.0,12.0
IND,Jarace Walker,rotation,none,63.0,23.0
IND,Jay Huff,rotation,none,66.0,19.0
IND,Johnny Furphy,reserve,short_term,25.0,9.0
IND,Keba Keita,cut,none,,
IND,Kelly Oubre Jr.,rotation,none,66.0,25.0
IND,Kobe Brown,cut,none,,
IND,Kowacie Reeves Jr.,cut,none,,
IND,Larry Nance Jr.,reserve,none,35.0,13.0
IND,Obi Toppin,rotation,none,59.0,23.0
IND,Pascal Siakam,starter,none,68.0,32.0
IND,Quenton Jackson,reserve,none,35.0,14.0
IND,Rienk Mast,cut,none,,
IND,T.J. McConnell,rotation,none,55.0,17.0
IND,Taelon Peter,cut,none,,
IND,Tamin Lipsey,cut,none,,
IND,Tyrese Haliburton,starter,none,67.0,33.0
LAC,Baba Miller,reserve,none,41.0,8.0
LAC,Bennedict Mathurin,rotation,none,65.0,26.0
LAC,Brandon Ingram,starter,none,64.0,34.0
LAC,Brook Lopez,starter,none,63.0,27.0
LAC,Cam Christie,fringe,none,,8.0
LAC,Darius Garland,starter,none,67.0,33.0
LAC,Derrick Jones Jr.,rotation,none,63.0,24.0
LAC,Fletcher Loyer,cut,none,,
LAC,Gradey Dick,reserve,none,44.0,9.0
LAC,Isaiah Jackson,reserve,none,39.0,16.0
LAC,Jamarion Sharp,fringe,none,,6.8
LAC,Johni Broome,reserve,none,,
LAC,Jordan Miller,rotation,none,68.0,22.0
LAC,Keaton Wagler,rotation,none,69.0,27.0
LAC,Kobe Sanders,rotation,none,63.0,15.0
LAC,Kris Dunn,starter,none,69.0,26.0
LAC,Narcisse Ngoy,cut,none,,
LAC,Nick Martinelli,fringe,none,,2.5
LAC,Rui Hachimura,starter,none,63.0,28.0
LAC,Sean Pedulla,fringe,none,,2.0
LAC,TyTy Washington Jr.,cut,none,,
LAC,Yanic Konan Niederhauser,rotation,none,62.0,17.0
LAL,AK Okereke,fringe,none,,6.5
LAL,Adou Thiero,reserve,none,,11.0
LAL,Arthur Kaluma,fringe,none,,0.0
LAL,Austin Reaves,starter,none,68.0,33.0
LAL,Bronny James,reserve,none,,11.0
LAL,Cameron Carr,rotation,none,50.0,15.0
LAL,Chase Ross,cut,none,,
LAL,Chris Manon,fringe,none,,5.5
LAL,Collin Sexton,rotation,none,,25.0
LAL,Dalton Knecht,reserve,none,35.0,9.0
LAL,Drew Timme,cut,none,,
LAL,Jaden Hardy,reserve,none,32.0,10.0
LAL,Jake LaRavia,rotation,none,,24.0
LAL,Jarred Vanderbilt,rotation,none,,16.0
LAL,Kevon Looney,rotation,none,,16.0
LAL,Luka Doncic,starter,none,68.0,33.0
LAL,Matisse Thybulle,reserve,none,48.0,15.0
LAL,Peter Suder,fringe,none,,6.5
LAL,Quentin Grimes,starter,none,,30.0
LAL,Robbie Avila,cut,none,,
LAL,Robert McCray V,cut,none,,
LAL,Sandro Mamukelashvili,starter,none,,27.0
LAL,Walker Kessler,starter,none,60.0,28.0
LAL,William Kyle III,cut,none,,
LAL,Ziaire Williams,rotation,none,,18.4
MEM,AJ Johnson,cut,none,0.0,0.0
MEM,Cam Spencer,rotation,none,,24.0
MEM,Cameron Boozer,starter,none,75.0,30.0
MEM,Carson Cooper,cut,none,0.0,
MEM,Cedric Coward,starter,none,72.0,28.0
MEM,D'Angelo Russell,cut,none,,
MEM,GG Jackson II,reserve,none,,15.0
MEM,Isaiah Stewart,rotation,none,70.0,25.0
MEM,Jahmai Mashack,fringe,none,20.0,5.0
MEM,Javon Small,reserve,none,45.0,14.0
MEM,Jaylen Wells,rotation,none,74.0,26.0
MEM,Jerami Grant,starter,none,55.0,28.0
MEM,Karim Lopez,fringe,none,18.0,6.0
MEM,Kris Murray,cut,none,5.0,14.0
MEM,Olivier-Maxence Prosper,reserve,none,55.0,14.0
MEM,Quinten Post,rotation,none,,16.0
MEM,Richie Saunders,fringe,long_term,0.0,0.0
MEM,Scotty Pippen Jr.,rotation,none,58.0,28.0
MEM,Taj Gibson,cut,none,0.0,
MEM,Taylor Hendricks,reserve,none,,10.0
MEM,Ty Jerome,starter,none,65.0,28.0
MEM,Walter Clayton Jr.,fringe,short_term,,12.0
MEM,Zach Cleveland,cut,none,0.0,
MEM,Zach Edey,starter,none,62.0,29.0
MIA,Andrew Wiggins,starter,none,,32.0
MIA,Bam Adebayo,starter,none,,33.0
MIA,Bobby Portis,rotation,none,,24.0
MIA,Davion Mitchell,starter,none,,29.0
MIA,Dru Smith,rotation,none,65.0,18.0
MIA,Giannis Antetokounmpo,starter,none,65.0,31.0
MIA,J'Vonne Hadley,cut,none,,
MIA,Keshad Johnson,cut,none,,
MIA,Keyshawn Hall,cut,none,,
MIA,Myron Gardner,reserve,none,55.0,12.3
MIA,Nikola Jovic,rotation,none,,23.0
MIA,Pelle Larsson,starter,none,,29.0
MIA,Ryan Conwell,reserve,none,53.0,12.7
MIA,Simone Fontecchio,rotation,none,,17.0
MIA,Tim Hardaway Jr.,rotation,none,,26.0
MIA,Tre Donaldson,fringe,none,10.0,10.0
MIA,Tre White,fringe,none,10.0,9.0
MIA,Trevor Keels,cut,none,,0.0
MIA,Vladislav Goldin,fringe,none,,11.0
MIL,A.J. Green,starter,none,71.0,25.0
MIL,Bogoljub Markovic,reserve,none,25.0,10.0
MIL,Brayden Burries,rotation,none,64.0,22.0
MIL,Caris LeVert,reserve,none,43.0,11.0
MIL,Cormac Ryan,fringe,none,0.0,0.0
MIL,Gary Trent Jr.,rotation,none,45.0,20.0
MIL,Jaime Jaquez Jr.,rotation,none,64.0,29.0
MIL,Jericho Sims,reserve,none,45.0,14.0
MIL,Kam Jones,fringe,none,,0.2
MIL,Kasparas Jakucionis,reserve,none,54.0,17.0
MIL,Kel'el Ware,starter,none,69.0,28.0
MIL,Kevin Porter Jr.,rotation,none,56.0,22.0
MIL,Kyle Kuzma,rotation,none,60.0,19.0
MIL,Malique Lewis,cut,none,,
MIL,Myles Turner,starter,none,55.0,27.0
MIL,Nate Ament,reserve,none,44.0,17.0
MIL,Ousmane Dieng,reserve,none,54.0,18.0
MIL,Pete Nance,fringe,none,,0.2
MIL,Rafael Castro,fringe,none,0.0,0.0
MIL,Ryan Rollins,starter,none,72.0,31.0
MIL,Tyler Herro,starter,none,58.0,32.0
MIN,Anthony Edwards,starter,none,73.0,35.0
MIN,Ayo Dosunmu,starter,none,72.0,31.0
MIN,Bones Hyland,rotation,none,72.0,19.0
MIN,Donte DiVincenzo,reserve,long_term,0.0,0.0
MIN,Enrique Freeman,fringe,none,,4.1
MIN,Isaiah Evans,reserve,none,49.0,10.0
MIN,Jaden McDaniels,starter,none,74.0,32.0
MIN,Jaylen Clark,reserve,none,70.0,17.0
MIN,Joan Beringer,rotation,none,69.0,20.0
MIN,Josh Green,rotation,none,57.0,16.0
MIN,LaMelo Ball,starter,none,66.0,31.0
MIN,Rocco Zikarsky,fringe,none,,3.2
MIN,Rudy Gobert,starter,none,74.0,31.0
MIN,Terrence Shannon Jr.,rotation,none,65.0,22.0
MIN,Trey Kaufman-Renn,cut,none,,
MIN,Trey Lyles,rotation,none,65.0,16.0
MIN,Zyon Pullin,reserve,none,35.0,12.0
NOR,Bryce McGowens,fringe,none,59.0,7.0
NOR,Chris Bell,cut,none,,
NOR,Christian Koloko,fringe,none,,5.0
NOR,DeAndre Jordan,reserve,none,28.0,9.0
NOR,Dejounte Murray,starter,none,63.0,32.0
NOR,Derik Queen,rotation,none,68.0,29.0
